Original Text,Replacement Text,Phonemes,Languages,Voice IDs,Active,Ignore Case,App Bundle IDs
"За этим последовала радиотерапия и химиотерапия - тритерапия, в которой Ланж-Лаздунски может похвастаться целыми 40 процентами выживших больных за пять лет.","This was followed by radiotherapy and chemotherapy - triple therapy, in which Lange-Lazdunski boasts a whole 40 percent of patients surviving for five years.",This was followed by radiotherapy and chemotherapy - a tri-therapy for which Lang-Lazdunski can boast five year survival rates as high as 40 per cent.,0.9598254605244118,,TRUE,FALSE,
"Обстановка в Лесото весьма напряженная с июня, когда Табане приостановил парламентские сессии в результате разногласий в своем объединенном правительстве.","The situation in Lesotho is very tense since June, when Thabane suspended parliamentary session as a result of the differences in a united government.",Tensions have been high in Lesotho since June when Thabane suspended parliament sessions due to feuding in his unity government.,0.6802536276882301,,TRUE,FALSE,
Suomen pelastusalan keskusjärjestön (Spek) mediaseurannan mukaan tähän mennessä paloissa on kuollut jo 55 ihmistä 49 eri palossa.,"Finland's rescue, according to the Trade Unions (Spek) mediaseurannan so far, the fires have already killed 55 people 49 different in the fire.","According to the media tracking of the Central Association of Finland’s Emergency Service Sector (SPEK), already 55 people have died in 49 different fires so far.",-1.0088637566589236,,TRUE,FALSE,
"Напомним, речь идет об особняке, который занимал фонд в центре города на улице Белинского, 19 на безвозмездной основе с 2011 года.","Remember, we are talking about the mansion, which has held the fund in the city centre on the street The 19 grants since 2011.","As a reminder, the issue at hand concerns the mansion at 19 Belinsky Street in the centre of the city, where the Foundation has been located on a free-of-charge basis since 2011.",-0.1701482581503784,,TRUE,FALSE,
Týká se to zejména článků o konfliktu Izraele a Hamásu v pásmu Gazy.,"This concerns of on the of especially Article conflict Israel and Hamas in a zone, Strip.","It has to do with, for example, articles about the conflict between Israel and Hamas in the Gaza Strip.",-1.865108836162564,,TRUE,FALSE,
"Minun piti kasvaa aikuiseksi julkisuuden valokeilassa, minun piti oppia tuottamaan vitsejä liukuhihnalta vuosina 1975–1985, samalla kun elin tähteyttä ja olin televisiossa. Se oli vaikeaa aikaa.","I had to grow up in the spotlight, I had to learn to produce a veritable jokes from 1975 to 1985, while the body of the star and I was on TV, and it was a difficult time.","Not only did I have to grow up in the public eye, I had to learn how to be an efficient joke-delivering mechanism between 1975 and 1985, whilst being a star, being on television and it was really difficult.",0.3948386011870167,,TRUE,FALSE,
"Lawson schaffte es jedoch ""die Dinge in einem etwas positiveren Licht erscheinen zu lassen.""","Lawsone managed ""to make ""appear"" it, however, ""the things in an a little more positive light.""","Lawson, however, ""managed to put a slightly better tint on things.""",0.1152667683508349,,TRUE,FALSE,
Festkapelle ist die Blaskapelle Berngau.,Fixed chapel is the brass band Berngau.,The festival band will be Berngau brass band.,-1.0263933376540186,,TRUE,FALSE,
Je to zábava.,It's fun.,It's good fun.,1.524812319861807,,TRUE,FALSE,
"Alles, was wir im Moment darüber wissen, ist diese Aussage von Emmet Shear, Präsident von Twitch: ""Wir haben uns für Amazon entschieden, weil sie an unsere Community glauben, sie teilen unsere Werte und langfristigen Visionen und sie wollen uns dabei helfen, schneller dorthin zu gelangen.""","All we know at the moment about it, is this statement by Emmet shear, President of twitch: ""We have for Amazon decided, because they believe in our community, they share our values and our long-term visions and they want to help us to get there faster.""","All we have at the moment is this statement from Twitch CEO Emmett Shear: ""We chose Amazon because they believe in our community, they share our values and long-term vision, and they want to help us get there faster.""",0.4006817948520483,,TRUE,FALSE,
Prorussische Separatisten schossen Flugzeug ab,Prorussische separatists shot down plane,Pro-Russian separatists shot down an aircraft,-1.865108836162564,,TRUE,FALSE,
Qadri äußerte sich ähnlich.,Qadri said similar.,Qadri made similar comments:,1.2393972933605937,,TRUE,FALSE,
"""Und dein Dickkopf ist genau der Grund, warum ich mich pervers zu dir hingezogen fühle,"" sagte sie ...","""And your thick head is precisely the reason why I am perverse feel attracted to you,"" she said.","""And your thick head's the very reason I'm perversely attracted to you,"" she said...",0.6802536276882301,,TRUE,FALSE,
Kaikki lapset eivät palaa kouluun Ukrainassa,All children do not return to school in Ukraine,Not all children back to school in Ukraine,0.6744104340231984,,TRUE,FALSE,
"Minulý víkend se hráč v Canning Vale stal jedním z pěti srpnových milionářů a jen o několik týdnů dříve pár v Belmontu vyhrál neuvěřitelných 7,5 milionu dolarů.","Last weekend, a player in Canning Vale had become one of the five August millionaires, and only a few weeks earlier in Belmont had won an incredible $7,5 million.","Last week a Canning Vale player became one of five August millionaire's, following a Belmont couple's massive $7.5 million win only a few weeks prior.",-0.4555632846515918,,TRUE,FALSE,
"О том, чтобы взять учебники напрокат, стоит подумать, если вы будете достаточно хорошо с ними обращаться, не забудете вернуть их и не захотите оставить их себе после того, как завершится курс.","About to take textbooks, look, if you will be well enough contact with them, don't forget to return them and don't want to leave them to themselves after the course is completed.","Renting your textbooks is worth considering if you take reasonable care of them, you remember to return them and you do not care to own them after you complete the class.",0.1152667683508349,,TRUE,FALSE,
Seuraavan kerran päätöksentekoa voi seurata suorana 13.10.2014.,"For the next time, it will be possible to follow the decision on 13 and 13 2014.",Next time the decision making can be watched live on October 13th 2014.,-1.0088637566589236,,TRUE,FALSE,
"Työntekijät, jotka eivät ilmoittautuneet rekisteriin seuraavan kahden viikon aikana, eivät saisi enää palkkaa, hallituksen tiedotteessa ilmoitettiin.","Employees who are not enrolled in the register during the next two weeks, receive no salary, the government release announced.","Employees who failed to register over the next two weeks would no longer be paid, a government statement said.",0.9598254605244118,,TRUE,FALSE,
"Někteří experti nyní rozlišují čtyři různé zdroje jen pro Pentateuch, tj. pět Knih ""Mojžíšových"" a Mojžíšovi nepřipisují autorství žádné z nich, protože téměř jistě neexistoval tak, jak je v Bibli popisován.","Some experts now distinguish four different sources only for Pentateuch , i.e. five books ' mojžíšových ' and mojžíšovi nepřipisují authorship any of them , because almost certainly did not exist , as it is in bibli described .","Some experts now recognize four different sources just for the Pentateuch, the five books of ""Moses"", and they don't credit Moses as the author of any of them as he evidently never existed as described.",-1.865108836162564,,TRUE,FALSE,
"Daňové zatížení - státní i místní - se minulý rok zvedlo o 4,3 % na 671 miliard dolarů v porovnání s 3,9 % minulý rok a jednalo se o třetí růstový rok za sebou po letech 2009 a 2010, kdy se daně snižovaly.","The tax burden - national and local - the last year rose by 4.3% to $671 billion compared with 3.9% last year, and it was the third consecutive year of growth for the years 2009 and 2010, when the tax was reduced.","Businesses"" state and local tax burdens last year expanded by 4.3 percent, to $671 billion, compared with 3.9 percent the year before, and it was the third consecutive year of growth after back-to-back years of shrinking bills in 2009 and 2010.",-0.17599145181541,,TRUE,FALSE,
В качестве пилотной выбрана сфера дорожного строительства.,Chosen as the pilot area of road construction.,The road construction industry has been chosen to pilot the project.,-0.4438768973215285,,TRUE,FALSE,
"A po něm bude následovat autogramiáda, na které Rosický ani Čech nebudou chybět.",And it will be followed by an autograph session at which neither Czech Rosicky will miss.,"It will be followed by autograph signing, at which neither Rosický nor Čech will be missing.",0.1152667683508349,,TRUE,FALSE,
"Einfach ausprobieren: Laura, Lena, Lisa, Marie, Bettina, Emma und Leiterin Lisa Neitzel (von links) freuen sich auf Mitstreiter.","Simply try out: Laura, Lena, Lisa, Marie, Bettina, Emma and Director Lisa Neitzel (from left) look forward to colleagues.","Just try it: Laura, Lena, Lisa, Marie, Bettina, Emma and manager Lisa Neitzel (from left to right) are looking forward to new members.",0.1152667683508349,,TRUE,FALSE,
"Те, кто выжил, говорят, что если б они знали, какова на самом деле ситуация на юго-востоке Украины, воевать не пошли бы.","Those who survived, say that if they knew what is actually the situation in the south-east of Ukraine, would not go to war.",They say that those who survived wouldn’t have gone to fight if they had known about the actual situation in the southeast of Ukraine.,0.9656686541894436,,TRUE,FALSE,
"""Das Foto wurde jedoch irrtümlich veröffentlicht und wurde inzwischen entfernt"" sagte eine Sprecherin des Unternehmens.","""The photo was mistakenly released, however, and was now removed,"" said a spokeswoman for the company.","""However, the photo was put up in error and has since been removed,"" a spokeswoman for the company said.",0.9656686541894436,,TRUE,FALSE,
"Es meldete Einnahmen für 2013 von 1,2 Milliarden $, ein Anstieg von 6 Prozent im Vergleich zum Vorjahr.","It reported revenue for 2013 of 1.2 billions $, a climb of 6 percent in comparison with the preceding year.","It posted revenues of $1.2 billion in 2013, up 6 percent from the year earlier.",0.9656686541894436,,TRUE,FALSE,
"Aber zu was dient die Vergangenheit, wenn wir nicht daraus lernen -","But what is the past, if we do not learn from it -",But what is the past for if not to learn from it -,1.524812319861807,,TRUE,FALSE,
"Čas plyne na východě zřejmě jinak, než na západě.",Time passes on the East differently than in the West.,Time apparently passes differently in the East than in the West.,0.6802536276882301,,TRUE,FALSE,
"Британка сообщила, что она провела много лет, думая, что умрет, после неправильно поставленного диагноза.","Reported that she spent many years thinking that dies, after incorrectly delivered the diagnosis.",A British woman says she spent many years thinking she was going to die after a misdiagnosis.,0.1094235746858033,,TRUE,FALSE,
"Рекламные ролики, документальные фильмы, телесериалы и роли в кино заняли следующие десять лет его жизни, но после его сериала на BBC в 2008 году ""LennyHenry.tv"", он подумал: ""Что ты собираешься делать дальше, Лен, потому что немножко кажется, что ты тянешь время или потихоньку сворачиваешь в сторону"".","Commercials, documentaries, TV shows and roles in movies took the next ten years of his life, but after his show on BBC in 2008 lennyhenry.tv "","" he thought, ""What are you going to do next, flax, because some think you time or quietly to the side.""","Advertisements, documentaries, TV series and parts in films consumed his next decade but after his 2008 BBC series, LennyHenry.tv, he thought: ""What are you going to do next, Len, because it all feels a bit like you're marking time or you're slightly going sideways.""",0.1152667683508349,,TRUE,FALSE,
"Pouze ve Virginii bylo zvýšení zdanění pod průměrem, na 4,1 %.","Only in Virginia, an increase in taxation was below average at 4.1%.",Only Virginia posted a below-average tax bill bump of 4.1 percent.,0.9656686541894436,,TRUE,FALSE,
"Francois Hollande on kenties lähtenyt soitellen sotaan, mutta niin myös Manuel Valls, jonka velvollisuutena oli muodostaa uusi hallitus sen jälkeen, kun edellinen ei kestänyt edes kesän ajan.","Francois Holland de may have left the call to war, but also to Manuel Vals, whose duty it was to form a new government after the previous not taken even over the summer.","Francois Hollande the Emperor has no clothes, but neither has Prince Manuel Valls, forced to put together a new government when the previous one didn't even survive the summer.",0.1152667683508349,,TRUE,FALSE,
"Ti, kdo odbory napadají, tyto jednoduché pravdy zapomínají, historie si je ale pamatuje.","Those who attack labor forget these simple truths, but history remembers them.","Those who attack labor forget these simple truths, but history remembers them.",1.524812319861807,,TRUE,FALSE,
"Stellen Sie Ihre Kamera auch auf die Fotos oder Videos ein, die Sie aufnehmen wollen.","Put your camera on the photos or videos, which you want to capture.","Also, set your camera to match the type of photos or video you'll be shooting.",0.1152667683508349,,TRUE,FALSE,
С остроумием точно так же.,With wit in the same way.,"Wit, the same.",0.6744104340231984,,TRUE,FALSE,
Järjestön korkeakouluosion varapuheenjohtaja Megan Dunnin mukaan ”tämä palvelusuunnitelma vaikuttaa olevan todella kaukana opiskelijaenemmistön elämästä”.,"The organisation's part of the high school vice-president, according to Dunn's """" This service plan appears to be a long way from a life of the majority of the student. ""","Megan Dunn, NUS vice president for higher education, said: ""This scheme seems incredibly out of touch with the lives of the majority of students.",0.1152667683508349,,TRUE,FALSE,
"""Мне так жаль всех тех, кто страдает от этих ужасов"", сказал Дамир, который на прошлом неделе занимался волонтерской работой в женском монастыре.","""I'm so sorry for all those who suffer from these horrors,"" said Damir, who last week doing volunteer work in the convent.","'I feel so sorry for all those who suffer from these horrors,' said Damir, who was last week doing voluntary work at a nunnery.",0.9598254605244118,,TRUE,FALSE,
ja tylsää.,and boring.,And it's tedious.,0.3948386011870167,,TRUE,FALSE,
Žáci si Bunsenův kahan stavěli na azbestové podložky,They have bunsenův kahan built on azbestové Częste,Pupils perched their Bunsen burners on asbestos mats,-1.865108836162564,,TRUE,FALSE,
Alue on ollut kunnan omistuksessa runsaat kymmenen vuotta.,The area has been owned by the municipality of more than 10 years.,The municipality has owned the area for good ten years.,1.245240487025625,,TRUE,FALSE,
"Mehr als 40 000 Sicherheitskräfte sind im Einsatz, um das Regierungsviertel zu schützen.",More than 40 thousand security forces are deployed to protect the government district.,"More than 40,000 members of the security forces have been deployed to protect the government district.",0.9598254605244118,,TRUE,FALSE,
Всего двумя неделями раньше он катался на лыжах во Французских Альпах.,"Just two weeks earlier, he went skiing in the French Alps.",Just two weeks earlier he had been skiing in the French Alps.,1.524812319861807,,TRUE,FALSE,
"Henryllä on Billie-tytär Dawn Frenchin kanssa, ja oman lapsensa kautta hän on pystynyt jakamaan sen rakkauden, joka häneltä itseltään puuttui lapsena.","Henry has billie - with frenchin daughter dawn, and through their own child, he has been able to share its love, which itself was him as children.","Having a daughter of his own, Billie, with Dawn French, enabled him to share the love he missed as a child.",-1.865108836162564,,TRUE,FALSE,
"Развитие российского рынка электромобилей помимо дороговизны машин (те электромобили, что продаются в России, в среднем вдвое дороже аналогов с двигателями внутреннего сгорания) сдерживает неразвитость зарядной инфраструктуры (заправок - единицы), вздыхает гендиректор ""Автостата"" Сергей Целиков.","The development of the Russian market of electric vehicles in addition to the cost of cars (those electric cars that are sold in Russia, on average, twice as expensive as similar models with internal combustion engines) inhibits underdeveloped charging infrastructure (filling stations - units), says the General Director of ""Avtostat"" Sergey Tselikov.","Development of the Russian market of electric vehicles, in addition to the high cost of the cars (the electric vehicles that are sold in Russia are, on average, twice as expensive as their counterparts with internal combustion engines), is being constrained by the underdevelopment of charging infrastructure (charging stations are few and far between), sighs General Director of Avtostat, Sergei Tselikov.",0.1152667683508349,,TRUE,FALSE,
"""В феминизме, я не думаю, что есть много людей, которые говорят о белом цвете коже и привилегиях на таком высоком уровне"", сказала она.","""In feminism, I don't think that there are a lot of people who talk about white skin and privileges at such a high level,"" she said.","""In feminism, I don't think you get a lot of people talking about whiteness and privilege in such a high level way,"" she said.",1.245240487025625,,TRUE,FALSE,
"Hamptions International, eine andere Immobilienagentur, korrigierte seine Voraussage für den Anstieg der Immobilienpreise in London für 2015 nach unten auf 3 Prozent, auf der Grundlage eines bereits jetzt schwächelnden Hauspreisbewußtseins.","Hamptions International, another real estate agency, revised its forecast for the rise in house prices in London for 2015 down to 3 percent, on the basis of an already faltering Hauspreisbewußtseins.","Hamptons International, another estate agent, has cut its 2015 forecast for London property price growth to 3 per cent on the basis that house price sentiment is already starting to weaken.",-1.0088637566589236,,TRUE,FALSE,
Нелли Кершоу умирает в Рочдейле.,Nelly Kershaw dies in Rochdale.,Nellie Kershaw dies in Rochdale.,1.524812319861807,,TRUE,FALSE,
"A je teprve den prvý, teď jako před lety.","And it's only the first day, now as a few years ago.","And it's only the first day, now just like years ago.",0.6802536276882301,,TRUE,FALSE,
Tutustu sekä tavallisiin että vedenpitäviin malleihin osto-oppaassamme ja digikameroiden arvosteluissa.,Out both ordinary and vedenpitäviin model in buying oppaassamme and digikameroiden criticism.,Check out our buying guide and Ratings for digital cameras for both conventional and waterproof models.,-1.865108836162564,,TRUE,FALSE,
"Ystävyydenpuiston alue ja lähiympäristö on kaupungin mukaan kelkoille myös riittävän laaja, parempi kuin korvaaviksi lähtöpaikoiksi esitetyt paikat kuten esimerkiksi Ounasjoen siltojen itäpuoleinen venelaiturin vierus.","Friendship Park area of the city and the surrounding environment is also kelko according to a sufficiently broad, rather than a substitute for starting places for the locations such as eastern Ounasjoe on the bridges of the boat quay vierus.","According to the city, the Friendship Park area and the environment adjacent to it is sufficiently large for the snowmobiles, better than the places that had been suggested as replacing starting points, such as the side of the boat quay on the eastern side of Ounasjoki bridges.",-1.0088637566589236,,TRUE,FALSE,
"Joe Gault, 29, který brzy nastoupí na Pepperdine Law School, doporučuje řídit se podle ISBN, protože to zaručuje, že kupujete správnou knihu.","Joe Gault, 29 that soon Law School will come on Pepperdine, he recommends to follow according to ISBN because it ensures that you buy the right book.","Joe Gault, 29, who is about to enter Pepperdine Law School, recommends using the ISBN number to price books since it ensures you are shopping for the right text.",0.1094235746858033,,TRUE,FALSE,
Koulutusministeriön mukaan reilu kymmenen perhettä ei ollut vielä palannut takaisin.,According to the Ministry of Education Fair 10 families had not yet been returned.,The Education Ministry said about a dozen families still had not returned.,0.1152667683508349,,TRUE,FALSE,
Yritä päästä lähelle kuvattavaa kohdetta.,Trying to get close to the site kuvattavaa.,Get close to your subjects.,-1.0088637566589236,,TRUE,FALSE,
"Die Entscheidung folgt einem Sommer, in dem einige der größten und publikumswirksamsten Proteste in Hongkong seit etlichen Jahren stattfanden.",The decision follows a summer in which some of the largest and most violent protests in Hong Kong have been taking place for a number of years.,The ruling comes after a summer that has featured some of the largest and most high-profile protests in Hong Kong in years.,0.6802536276882301,,TRUE,FALSE,
"Pokud vám nevadí poznámky jiných lidí nebo opotřebení a poničení, vhodnou možností jsou použité učební texty.","If you don't mind other people's remarks or wear appropriate and destruction, the possibility of teaching texts are used.","If you do not mind other people's notes or wear and tear, used texts are a good option.",-0.7234487301577102,,TRUE,FALSE,
"Действительно, личность была незаурядная: хозяин Кагинского и Узянского заводов строил дома, отливал пушки и колокола, держал уральские рудники.","Indeed, the personality was fantastic: The owner of Kagin and new plants built houses, tidal guns and bells, kept Ural mines.","Indeed, this character had a lot going for him: the owner of the Kaginsky and Uzyansk factories built homes, cast canons and bells, and kept the Ural mines.",-0.1701482581503784,,TRUE,FALSE,
"Nachdem der Winter letzte Woche für eine frühe Dosis Frühling gesorgt hatte, fielen die Temperaturen in der Stadt am Montag wieder auf einen Höchstwert von nur 15,8°C.","After last week's winter had ensured an early dose of spring, temperatures in the city fell again on Monday to a maximum of just 15.8 ° C.","After winter delivered an early dose of spring last week, temperatures dropped again on Monday to a high of just 15.8C in the city.",0.6802536276882301,,TRUE,FALSE,
"Šéf skotských nacionalistů Alex Salmond tohle dobře ví, a proto se v televizní diskusi opakovaně dotazoval svého soupeře, unionistického Darlinga, zda je ochoten respektovat ""suverénní vůli skotského lidu"", pokud by skotští voliči hlasovali pro nezávislost, a začít podporovat jednotnou měnu pro Skotsko i pro Anglii.","The boss of the Scottish Nationalists Alex Salmond knows this, and therefore in a television debate has repeatedly questioned his opponent, Unioner Darling, whether it is willing to respect the ""sovereign will of the Scottish people"" if Scottish voters voted for independence, and start to promote the single currency for Scotland and for England.","The Scottish nationalists' leader, Alex Salmond, knows this very well, and therefore in the television discussion he repeatedly asked his rival, unionist Darling, whether he would be willing to respect ""the sovereign will of the Scottish people,"" if Scottish voters chose independence, and whether he would begin supporting a single currency for Scotland as well as for England.",0.6802536276882301,,TRUE,FALSE,
"Я старше сейчас, и говорят, что дети легко справляются с плохими событиями, - я должен сказать, что это неправда.",,I am older now and people use to say children easily cope with bad experience - I must say this is not true.,0.6802536276882301,,TRUE,FALSE,
"Zaprvé, vesmír má tři velké, daleko se rozléhající prostorové rozměry (z nichž jsme nakreslili jen dva), kdežto hadice má velký rozměr jen jeden.","Firstly, the universe has three large, distant echoes of spatial dimensions (of which we have drawn only two), while the hose has a large dimension only one.","First, the universe has three large spatial dimensions far sprawling from each other (of which we have drawn only two), and only hose has a large dimension.",0.6802536276882301,,TRUE,FALSE,
"Jazz wurde, auch wenn er nicht direkt verboten war, nicht gespielt.","Jazz was not played, even if it were not directly forbidden.","Jazz, too, without exactly being proscribed, wasn't played.",0.6802536276882301,,TRUE,FALSE,
"Liikevoittoprosentiksi tuli 7,1.",Liikevoittoprosentti became 7.1.,The profit margin was 7.1.,-1.865108836162564,,TRUE,FALSE,
"Некоторые критикуют движение Occupy Central, говоря, что его демонстрации подвергают риску бизнес - источник жизненной силы Гонконга.","Some criticize the movement Occupy Central, saying his demonstration put at risk business - the lifeblood of Hong Kong.","Some have criticized the Occupy Central movement, saying its demonstrations put business - the lifeblood of Hong Kong - at risk.",0.9656686541894436,,TRUE,FALSE,
"Им занимался Майкл МакКрум, специальный прокурор из Сан-Антонио, который был назначен судьей-республиканцем.","Did Michael Mccrum, the special Prosecutor from San Antonio, who was appointed by the judge-a Republican.","It was handled by Michael McCrum, a San Antonio-based special prosecutor who was assigned by a Republican judge.",0.1152667683508349,,TRUE,FALSE,
"Britti Isabelle Roberts karjui niin kovaa, kun hänen päälleen kaadettiin jääkylmää vettä, että hänen vahingoitti kasvojensa luustoa.","British Isabelle Roberts was roaring so loud, when the ice cold water poured over him that his damaged the facial bones.",Isabelle Roberts from in the UK shouted so hard while freezing water was poured over her head that she damaged the bone structure of her face.,0.1152667683508349,,TRUE,FALSE,
В феврале 2013 года действие лицензии авиакомпании было приостановлено.,"In February 2013, the action of the airline's license was suspended.","In February 2013, the airline company’s license was suspended.",0.6802536276882301,,TRUE,FALSE,
A Jaceňuk?,And Yatsenyuk?,And Yatsenyuk?,1.524812319861807,,TRUE,FALSE,
"Na stroji Boeing Stearman PT-17 se představila letecká akrobatka Peggy Walentinová, která za letu vylezla z kokpitu ke hrazdě na horním křídle dvouplošníku a také mezi křídla.","Na machine Boeing PT-17 PT-17 se presented air Walentinová Walentinová Walentinová, který za flight out z cockpit k trapeze na upper wing Camel a také mezi wings.","Aviation acrobat Peggy Walentin has performed on a Boeing Stearman PT-17, and during the flight she climbed out of the cockpit and made her way to the rack on the top wing of the biplane as well as between the wings.",-1.865108836162564,,TRUE,FALSE,
"Также Максим Ликсутов заявил, что введение платных парковок существенно разгрузило столичные улицы.",Also Maxim Liksutov said that the introduction of paid parking to unload the streets of the capital.,Maksim Liksutov also stated that the introduction of pay parking significantly decreased congestion on the streets of the capital.,0.1094235746858033,,TRUE,FALSE,
"Да, они не такие жирные, как норвежский лосось, потому что это дикая рыба.","Yes, they are not as fatty as Norwegian salmon, because it is a wild fish.","Sure, they’re not as fatty as Norwegian salmon, because they are wild fish.",1.245240487025625,,TRUE,FALSE,
